# Cluster	RA	Dec	z_spec	z_phot	zSource	Instrument/Telescope	Exposure Time
ACT-CL-J0330-5227	03:30:56.96	-52:28:13.2	0.440	...	(9,10)	SofI/NTT	2700
ACT-CL-J0346-5438	03:46:55.48	-54:38:55.0	0.530	...	(17)	SofI/NTT	2700
ACT-CL-J0348+0029	03:48:36.71	+00:29:32.9	0.297	...	(17)	WHIRC/WIYN	32400
ACT-CL-J0348-0028	03:48:38.25	-00:28:08.6	0.345	...	(17)	WHIRC/WIYN	32400
MACS-J0358.8-2955	03:58:54.09	-29:55:30.8	0.425	...	(1)	SofI/NTT	2700
MACS-J0416.1-2403	04:16:09.15	-24:04:02.1	0.400	...	(2)	SofI/NTT	2760
MACS-J0417.5-1154	04:17:34.49	-11:54:34.3	0.443	...	(2)	SofI/NTT	2400
Abell496	04:33:37.84	-13:15:43.10	0.0328	...	(7)	SofI/NTT	3480
ACT-CL-J0438-5419	04:38:17.68	-54:19:20.5	0.421	...	(17)	SofI/NTT	2700
SMACS-J0439-4600	04:39:13.91	-46:00:48.55	...	...	...	SofI/NTT	2700
MS0440.5+0204	04:43:09.90	+02:11:32.0	0.190	...	(5)	NTT/SofI	2700.0
MS-0440+0204	04:43:16.14	+02:10:02.4	0.197	...	(5)	SofI/NTT	3660
MS-0440+0204	04:43:16.29	+02:10:04.6	0.197	...	(5)	SofI/NTT	3660
MACS-J0449-2848	04:49:20.76	-28:49:08.19	...	...	...	SofI/NTT	2700
Abell521	04:54:06.93	-10:13:24.71	0.2537	...	...	SofI/NTT	1140
Abell520	04:54:10.10	+02:55:18.0	0.205	...	(2)	NTT/SofI	2700.0
MACS-J0451.6-0305	04:54:10.84	-03:00:51.5	0.5386	...	(5)	WHIRC/WIYN	32400
MACS-J0454.1-0300	04:54:16.12	-02:59:26.4	0.5377	...	(6)	SofI/NTT	9780
ACT-CL-J0516-5430	05:16:37.40	-54:30:01.5	0.294	...	(23)	NTT/SofI	2700.0
SPT-CL-J0553-5005	05:33:35.63	-50:05:26.8	0.881	...	(24)	NTT/SofI	2700.0
SPT-CL-J0546-5345	05:46:38.90	-53:45:26.7	1.066	...	(27)	NTT/SofI	2700.0
MACS-J0553.4-3342	05:53:19.35	-33:42:27.4	0.407	...	(12)	SofI/NTT	2700
MACS-J0553.4-3342	05:53:25.77	-33:42:28.0	0.407	...	(12)	SofI/NTT	2700
ACT-CL-J0559-5249	05:59:41.66	-52:50:02.5	0.611	...	...	SofI/NTT	2700
SMACS-J0600.2-2008	06:00:08.18	-20:08:09.0	...	0.46	(12)	SofI/NTT	2700
SMACS-J0600-4353	06:00:13.05	-43:53:30.47	...	...	...	SofI/NTT	2700
SMACS-J0600.2-2008	06:00:16.83	-20:06:55.7	...	0.46	(12)	SofI/NTT	2700
SPT-CL-J0615-5746	06:15:51.74	-57:46:48.8	0.972	...	...	SofI/NTT	2700
ACT-CL-J0616-5227	06:16:33.92	-52:27:09.9	0.684	...	(17)	SofI/NTT	2700
ACT-CL-J0641-4949	06:41:37.81	-49:46:54.5	0.146	...	(9,11)	SofI/NTT	2700
ACT-CL-J0645-5413	06:45:29.50	-54:13:37.0	0.167	...	(15)	NTT/SofI	2700.0
ACT-CL-J0707-5522	07:07:04.70	-55:23:08.5	0.296	...	(26)	SofI/NTT	2700
SMACS-J0723.3-7327	07:23:18.46	-73:27:17.0	...	0.39	(16)	SofI/NTT	2700
C1G-J080434.9+330509	08:04:36.04	+33:05:21.83	0.552	...	(21)	WHT/LIRIS	2350.0
Abell644	08:17:25.62	-07:30:45.40	0.0704	...	(7)	SofI/NTT	3360
MACSJ-0845.4+0327	08:45:27.57	+03:27:39.2	...	...	...	NTT/SofI	2700.0
MACS-J0850.1+3604	08:50:07.22	+36:04:22.45	0.378	...	(19)	WHT/LIRIS	2700.0
Abell750	09:09:12.47	+10:58:34.55	0.180	...	(12)	WHT/LIRIS	2700.0
MACS-J0911.2+1746	09:11:10.70	+17:46:33.12	0.5049	...	(6)	WHT/LIRIS	2700.0
MACS-J0911.2+1746	09:11:11.55	+17:46:28.7	0.5049	...	(6)	SofI/NTT	2700
C1G-J094811.6+290709	09:48:11.42	+29:07:11.69	0.778	...	(21)	WHT/LIRIS	2970.0
MACS-J0949.8+1708	09:49:51.66	+17:07:07.88	0.384	...	(1)	WHT/LIRIS	2700.0
Abell901	09:56:29.92	-10:05:42.26	0.170	...	(1)	SofI/NTT	2700
Abell963	10:17:03.39	+39:02:51.33	0.206	...	(1)	WHT/LIRIS	2820.0
MACS-J1105.7-1014	11:05:46.82	-10:14:46.1	0.466	...	(1)	SofI/NTT	2700
MACS-J1108.8+0906	11:08:55.01	+09:06:01.21	0.466	...	(19)	WHT/LIRIS	2700.0
Abell1204	11:13:20.51	+17:35:41.00	0.171	...	(12)	SofI/NTT	2700
MACS-J1115.8+0129	11:15:51.93	+01:29:55.2	0.355	...	(12)	SofI/NTT	5400
Schr-CL-J1132+00	11:32:45.59	+00:34:07.4	...	0.85	(21)	SofI/NTT	2700
MACS-J1206.2-0847	12:06:12:16	-08:48:03.1	0.439	...	(1)	SofI/NTT	10800
Abell1553	12:30:48.86	+10:32:47.30	0.165	...	(7)	SofI/NTT	2700
Abell1634	12:54:01.85	-06:42:14.00	0.196	...	(12)	SofI/NTT	2700
MACS-J1311.0-0311	13:11:01.77	-03:10:40.5	0.494	...	(12)	SofI/NTT	8100
Abell1689	13:11:27.20	-01:18:45.50	0.183	...	(7)	SofI/NTT	4260
Abell1758	13:32:43.68	+50:32:35.46	0.279	...	(19)	WHT/LIRIS	2970.0
Abell1758	13:32:43.68	+50:32:35.46	0.279	...	(19)	WHT/LIRIS	2970.0
MACS-J1347.5-1144	13:47:29.38	-11:45:06.0	0.451	...	(1)	SofI/NTT	3600
MACS-J1347.5-1144	13:47:30.61	-11:45:08.23	0.451	...	(1)	SofI/NTT	3600
Abell1835	14:01:02.11	+02:52:43.10	0.253	...	(1)	SofI/NTT	516
MACS-J1427+44	14:27:16.01	+44:07:29.46	0.487	...	(19)	WHT/LIRIS	3510.0
Abell1942	14:38:21.88	+03:40:13.10	0.224	...	(7)	SofI/NTT	2700
Abell1994	14:56:13.47	-05:48:55.80	0.220	...	(12)	SofI/NTT	2700
MACS-J1652.3+5534	16:52:18.67	+55:34:58.54	...	...	...	WHIRC/WIYN	32400
RX-J1720.1+2638	17:20:10.02	+26:37:32.1	0.164	...	(12)	WHIRC/WIYN	32400
MACS-J1752.0+4440	17:51:53.38	+44:39:13.4	0.366	...	(13)	WHIRC/WIYN	32400
MACS-J1931.8-2634	19:31:49.65	-26:34:33.0	0.352	...	(1)	SofI/NTT	2100
ACT-CL-J2025.2+0030	20:25:12.78	+00:31:35.10	...	0.34	(3)	WHT/LIRIS	2680.0
ACT-CL-J2050.5-0055	20:50:29.53	-00:55:38.36	0.622	...	(3)	WHT/LIRIS	2700.0
ACT-CL-J2051.1+0056	20:51:10.98	+00:56:48.62	0.333	...	(7)	WHT/LIRIS	2700.0
ACT-CL-J2055.4+0105	20:55:23.01	+01:06:09.43	0.408	...	(7)	WHT/LIRIS	2700.0
ACT-CL-J2128.4+0135	21:28:23.41	+01:35:36.73	0.385	...	(3)	WHT/LIRIS	2700.0
ACT-CL-J2129.6+0005	21:29:40.02	+00:05:20.67	0.234	...	(7)	WHT/LIRIS	2700.0
ACT-CL-J2130.1+0045	21:30:08.70	+00:46:46.82	...	0.71	(3)	WHT/LIRIS	2700.0
MACS-J2140.1-2339	21:40:15.03	-23:39:37.8	0.313	...	(3)	SofI/NTT	5520
C1G-J214826.3-053312	21:48:26.25	-05:33:11.2	...	0.625	(21)	WHIRC/WIYN	32400
RX-J2149.3+0951	21:49:19.68	+09:51:36.79	...	...	...	WHIRC/WIYN	32400
ACT-CL-J2152.9-0114	21:52:55.60	-01:14:53.2	...	0.69	(4)	NTT/SofI	2700.0
Abell2390	21:53:36.80	+17:41:43.60	0.233	...	(1)	WHIRC/WIYN	32400
Abell3827	22:01:53.44	-59:56:42.60	0.0993	...	(7)	SofI/NTT	3000
MACS-J2211.7-0349	22:11:45.88	-03:49:44.3	0.396	...	(7)	WHIRC/WIYN	18225
MACS-J2214.9-1359	22:14:57.25	-14:00:12.8	0.5027	...	(7)	WHIRC/WIYN	32400
ACT-CL-J2220.7-0042	22:20:47.00	+00:41:54.4	...	0.57	(4)	NTT/SofI	2700.0
ACT-CL-J2229.2-0004	22:29:08.13	+00:04:06.4	...	0.61	(4)	NTT/SofI	2700.0
C1G-J223007.6-080949	22:30:07.50	-08:09:48.6	0.623	...	(21)	WHIRC/WIYN	32400
C1G-J223727.5+135523	22:37:27.54	+13:55:23.5	...	0.700	(21)	WHIRC/WIYN	32400
